ticker,as_of_date,analysis_end_date,one_week_return_pct,one_month_return_pct,trailing_vol_pct,shock_z_score,event_text,vader_compound,vader_pos,vader_neu,vader_neg,finbert_label,finbert_score
AR,2026-05-05,2026-06-04,3.6023374793619167,-5.187841907953006,30.348110289655672,-0.5921690464709075,"As of 2026-06-04, AR fell by 5.2% over the last 30 days and rose by 3.6% over the last week. Realized volatility was 30.3%, indicating elevated risk conditions for natural gas-linked market exposure.",0.1027,0.07,0.871,0.059,negative,0.9686693549156189
CNX,2026-05-05,2026-06-04,0.29471993286671605,-10.49448087960777,25.02442442160292,-1.452738634567681,"As of 2026-06-04, CNX fell by 10.5% over the last 30 days and rose by 0.3% over the last week. Realized volatility was 25.0%, indicating elevated risk conditions for natural gas-linked market exposure.",0.1027,0.07,0.871,0.059,negative,0.9669691324234009
EQT,2026-05-05,2026-06-04,-0.19872953692261497,-5.661341660715468,24.83827765787742,-0.7895661309878049,"As of 2026-06-04, EQT fell by 5.7% over the last 30 days and fell by 0.2% over the last week. Realized volatility was 24.8%, indicating contained risk conditions for natural gas-linked market exposure.",0.1027,0.07,0.871,0.059,negative,0.9729722738265991
FTI,2026-05-05,2026-06-04,1.935015135953111,-7.960813375420073,31.63968103487043,-0.8715974867512075,"As of 2026-06-04, FTI fell by 8.0% over the last 30 days and rose by 1.9% over the last week. Realized volatility was 31.6%, indicating elevated risk conditions for natural gas-linked market exposure.",0.1027,0.07,0.871,0.059,negative,0.9695640206336975
NG=F,2026-05-05,2026-06-04,1.8264822286715,19.97847562623356,48.72007619141912,1.4205123451144188,"As of 2026-06-04, NG=F rose by 20.0% over the last 30 days and rose by 1.8% over the last week. Realized volatility was 48.7%, indicating elevated risk conditions for natural gas-linked market exposure.",0.1027,0.07,0.871,0.059,positive,0.9526144862174988
RRC,2026-05-05,2026-06-04,2.740425869668228,-5.924719290934299,24.91424341430205,-0.8237789654564259,"As of 2026-06-04, RRC fell by 5.9% over the last 30 days and rose by 2.7% over the last week. Realized volatility was 24.9%, indicating contained risk conditions for natural gas-linked market exposure.",0.1027,0.07,0.871,0.059,negative,0.9668786525726318
UNG,2026-05-05,2026-06-04,1.934394748487045,13.909769684971085,44.749218296519864,1.0767753597977339,"As of 2026-06-04, UNG rose by 13.9% over the last 30 days and rose by 1.9% over the last week. Realized volatility was 44.7%, indicating elevated risk conditions for natural gas-linked market exposure.",0.1027,0.07,0.871,0.059,positive,0.9519709348678589
USO,2026-05-05,2026-06-04,4.5572769303395155,-5.15363305136095,54.228982121579996,-0.32920973026971934,"As of 2026-06-04, USO fell by 5.2% over the last 30 days and rose by 4.6% over the last week. Realized volatility was 54.2%, indicating elevated risk conditions for natural gas-linked market exposure.",0.1027,0.07,0.871,0.059,negative,0.9513341784477234
