period,scenario,hdd_assumption,week_of_year,forecast_weekly_change_bcf,forecast_inventory_bcf,assumed_hdd_anomaly,weather_beta,as_of_date
2027-01-15,Base,Seasonal-normal weather,2,-151.44104547183062,3271.183770530088,-4.5,-1.414229728248382,2026-05-29
2027-01-22,Base,Seasonal-normal weather,3,-172.85694571332104,3098.326824816767,-0.0555555555555429,-1.414229728248382,2026-05-29
2027-01-29,Base,Seasonal-normal weather,4,-191.5284018032337,2906.798423013533,5.0,-1.414229728248382,2026-05-29
2027-02-05,Base,Seasonal-normal weather,5,-172.34313031617836,2734.4552926973547,-2.9090909090909065,-1.414229728248382,2026-05-29
2027-02-12,Base,Seasonal-normal weather,6,-147.37338168979375,2587.081911007561,-10.72727272727272,-1.414229728248382,2026-05-29
2027-02-19,Base,Seasonal-normal weather,7,-135.59078024995506,2451.491130757606,-8.083333333333343,-1.414229728248382,2026-05-29
2027-02-26,Base,Seasonal-normal weather,8,-141.5884000077141,2309.902730749892,13.035714285714278,-1.414229728248382,2026-05-29
2027-03-05,Base,Seasonal-normal weather,9,-108.78038913843402,2201.1223416114576,0.5666666666666629,-1.414229728248382,2026-05-29
2027-03-12,Base,Seasonal-normal weather,10,-61.79610404860488,2139.326237562853,-14.517241379310349,-1.414229728248382,2026-05-29
2027-03-19,Base,Seasonal-normal weather,11,-26.13508679368884,2113.191150769164,-7.821428571428584,-1.414229728248382,2026-05-29
2027-03-26,Base,Seasonal-normal weather,12,-27.71648022722649,2085.474670541937,-1.3846153846153868,-1.414229728248382,2026-05-29
2027-04-02,Base,Seasonal-normal weather,13,-8.142121883752916,2077.3325486581844,-1.7600000000000051,-1.414229728248382,2026-05-29
2027-04-09,Base,Seasonal-normal weather,14,14.15493003520181,2091.487478693386,3.379310344827587,-1.414229728248382,2026-05-29
